id,term,term_en,explanation
02.041,空调机室,air-conditioning unit room,安置空气调节设备及其控制器的舱室。
02.042,消防控制室,fire-control roon,安置全船消防和能紧急切断主辅机所有燃油源的控制设备的舱室。
02.043,应急发电机室,emergency generator room,安置应急发电机组及其控制设备的舱室。
02.044,蓄电池室,battery room,安置蓄电池的舱室。
02.045,货油控制室,cargo oil control room,油船上监控货油装卸、配载的舱室。
02.046,陀螺罗经室,gyrocompass room,安置陀螺罗经的主罗经及其附属设备的舱室。
02.047,桅室,mast room,设置在上甲板上，位于桅的周围或门型桅的两柱间的舱室。
02.048,声呐舱,sonar transducer space,"安置声呐升,降装置及能源转换设备的舱。"
02.049,计程仪舱,log roorn,安置计程仪的舱。
02.050,泡沫室,foam room,存放灭火泡沫剂和混合柜及其装置的舱室。
02.051,二氧化碳室,co-room,存放二氧化碳灭火装置的舱室。
02.052,测深仪舱,echo sounder room,安置测量船底与水底距离的仪器的舱。
02.053,机修间,work shop,修理各种机械设备用的舱室。
02.054,电工间,electrician's store,储存和检修电工器料的舱室。.
02.055,木工间,carpenter's store,木工作业和储存木工器材用的舱室。
02.056,储蔽室,store,船上各种供储藏物品的舱室的统称。
02.057,损管设备室,damage control equip-ment room,储存供船体损伤事故后堵漏和修理用的工具、设备的舱室。
02.058,油漆间,paint store,储藏油漆和油漆工具的舱室。
02.059,粮食库,provision store,储藏粮食的仓库。
02.060,冷藏库,refrigerating chamber,冷藏食品用的仓库。
02.061,冷冻机室,refrigerator room,安置冷冻机及其控制设备的舱室。
02.062,起居舱室,accommodation，livingquarter,"船上居住舱室，厨房﹑餐厅、盥洗室﹑浴室,厕所、娱乐场所等与人员生活有关的各种舱室的统称。"
02.063,居住舱室,cabin,船上人员住宿的舱室。
02.064,船长室,captain roorn,船长办公和住宿的舱室。
02.065,大副室,chief officer room,大副办公和住宿的舱室。
02.066,二副室,2nd officer room,二副办公和住宿的舱室。
02.067,三副室,3rd officer roorn,三副办公和住宿的舱室。
02.068,轮机长室,chief engineer room,轮机长办公和住宿的舱室。
02.069,大管轮室,1st engineer room,大管轮办公和住宿的舱室。
02.070,二管轮室,2nd engineer room,二管轮办公和住宿的舱室。
02.071,三管轮室,3rd engineer room,三管轮办公和住宿的舱室。
02.072,船员室,crew roorn,普通船员的居住舱室。
02.073,客舱,passenger cabin,"设有固定座位或铺位,专供旅客休息的舱室。"
02.074,货舱,"cargo hold,cargo space",装载货物的各种舱的统称。
02.075,货油舱,cargo oil tank,鞍毂散装油类货物的舱。
02.076,集装箱舱,container hold,专供装载集装箱的舱。
02.077,冷藏货舱,refrigerated cargo hold,专供装载冷藏货物的舱。
02.078,车辆舱,vehicle hold,装载车辆的舱。
02.079,液化天然气舱,liquified natural gas tank,装载液化天然气的舱。
02.080,液化石油气舱,liquified petroleum gas tank,装载液化石油气的舱。
02.081,邮件舱,mail room,装载邮件的舱。
02.082,行李舱,luggage room,装载旅客行李的舱。
02.083,液舱,liquid tank,储存燃油﹑滑油、压载水、淡水等各种船用液体的舱的统称。
02.084,燃油舱,fuel oil tank,储存燃油的舱。
02.085,滑油舱,lubricating oil tank,储存润滑油的舱。
02.086,溢油舱,overflow oil tank,储存从油舱通过溢流管溢出的油的舱。
02.087,污油舱,sludge tank，dirty oil tank,储存污油及污油水的舱。
02.088,压载水舱,ballast water tank,"用于注水加载来调整船的浮态和稳性,以改善船的航行性能的水舱。"
02.089,专用压载水舱,segregated ballast tank,"，SBT在货油舱区间的双壳体内设置供装压载水的舱。用以隔绝和保护货油和燃油系统,其容量必需满足有关公约或法规的要求。"
02.090,污液舱,slop tank,"又称“污油水舱”。油船上或散装运输有毒液体的液货船上,用以收集洗舱水和其他油性混合物或残余物和水混合物的舱。"
02.091,淡水舱,fresh water tank,储存淡水的舱。
02.092,饮水舱,drinking water tank,储存饮用水的舱。
02.093,锅炉水舱,feed water tank,储存锅炉用水的舱。
02.094,污水舱,bilge water tank,在船底部及两侧储存污水的舱。
02.095,循环滑油舱,circulating lubricatingoil iank,"位于主机底座下,为主机连续运转提供循环滑油的舱。"
02.096,全降落区标志,full landing area mark,"绘制在直升机起降平台或露天甲板上,表示能降落各种直升机和悬降安全区的图形符号。"
02.097,限制降落区标志,restricted landing area mark,"绘制在直升机起降平台或露天甲板上,表示仅能起降限定的直升机型和悬降安全的图形符号。"
02.098,悬降区标志,winching area mark,"绘制在直升机起降平台或露天甲板上,表示直升机仅能悬降作业的图形符号。"
02.099,船体型表面,molded hull surface,不包括船壳板及附体在内的船体外形的设计表面。
02.100,裸船体,"bare hull,naked hull",由船体型表面所围封的船体。
02.101,型排水体积,molded volume,任一水线面下，船舶裸船体所排开的水的体积。
02.102,附体,appendages,"水线以下突出于船体型表面以外的物体。包括轴包套、昵轴架﹑航轴﹑舵、螺旋桨﹑纰龙骨、方龙骨,减摇鳍﹑导流罩等,但不包括外板。"
02.103,主要要素,principal particulars,"船体主尺度、载重量.载客量、主机型号及其主要参数,航速﹑船员定额,续航力等的总称。"
02.104,中站面,midstation plane,"通过垂线间长或设计水线长的中点,并垂直于水平面的横向平面。"
02.105,基面,base plane,"通过龙骨线与中站面的交点,并垂直于中站面的水平面。"
02.106,中线面,center line plane,通过船体中线，并垂直于基面的纵向平面。
02.107,主坐标平面,principal coordinate planes,"由三个直角坐标轴组成,固定于船舶上的坐标平面。即基面、中线面和中站面。"
02.108,基线,base line,基面与中线面或横向垂直平面相交的直线。
02.109,主尺度,principal dimensions,"船体外形大小的基本免度,即船的长度、宽度、深度和吃水。"
02.110,总长,length overall,船舶最前端至最后端之间包括外板和两端永久性固定突出物(如顶推装置等)在内的水平距离。
02.111,垂线间长,length between perpen-diculars,箱垂线与昵垂线之间的水平距离。
02.112,水线长,waterline length,与基面相平行的任一水线平面与船体型表面媚舰端交点之间的水平距离。
02.113,设计水线长,designed waterline length,船舶处于设计状态时的水线长。
02.114,满毂水线长,load waterline length,船舶处于满载状态时的水线长。
02.115,型宽,rnolded breadth,一般指船体型表面之间垂直于中线面的最大水平距离。在水动力试验中特指设计水线上在船中处的宽度。
02.116,水线宽,waterline breadth,与基面相平行的任--水线平面处，船体型表面之间垂直于中线面的最大水平距离。
02.117,片体水线宽,waterline breadth of demihull for catamaran,双体船水线处片体宽度。
02.118,最大宽,exireme breadth,"指船舶包括外板和水久性固定突出物,如护舷材、水翼等在内,垂直于中线面的最大水平距离。"
02.119,型深,molded depth,"在鹤的中横剖面处,沿船舷自平板龙骨上缘至上层连续甲板横梁上缘的垂直距离;对甲板转角为圆弧形的船徵,则由平板龙骨上缘量至横梁上缘延伸线与助骨外缘延伸线的交点。"
02.120,吃水,draft，draught,泛指船体在水面以下的深度。
02.121,型吃水,molded draft,船舶中站处基面至水面之间的垂直距离。
02.122,设计吃水,designed draft,基面与设计水线平面间的垂直距离。
02.123,结构吃水,scantling draft,船体结构设计所依据的吃水。
02.124,躺吃水,fore draft,在航垂线处的型吃水。
02.125,候吃水,after draft,在蹴垂线处的型吃水。
02.126,平均吃水,mean draft,"缢吃水和航吃水的平均值。当有横倾时,则指左有舷测量值平均值。"
02.127,外形吃水,navigational draft,指包括任何附体或水线下突出物在内的船舶最低点至水面的垂直距离。
02.128,翼航吃水,foil borne draft,水翼艇在翼航状态时的吃水。即水翼底浸水深度。
02.129,龙骨净空,keel clearance,"水翼艇在翼航状态时,艇底离水面的平均净空高度。"
02.130,垫升船底净空,hovering hull clear-ance,"气垫船在垫升状态时,船底离开水面的净空高度。"
02.131,垫航吃水,hovering draft,侧璧式气垫船在垫升状态时的吃水。
02.132,船底净空,box clearance,小水线面船主船体底板离开水面的高度。
02.133,片体间距,demihull spacing,双体船片体中线之问的距离。
02.134,满载吃水,loaded draft,船舶处于满载排水量状态时的平均吃水。
02.135,空载吃水,light draft,"指船舶空载无货,但有船员、备品及燃料、水,粮食等消耗品时的吃水。"
02.136,吃水标志,draft mark,"在船的道,/及孵的两舷以数字和线条标明该处外形吃水值的标志。"
02.137,型线图,lines plan,在三个相互垂直的投影面上的剖切线、投影线和外廓线表示船体型表面形状的图样。三个视图分别为:以船体型表面及甲板舷墙等与各站的横向垂直平面的交线在正视方向的投影图为横剖线图;与中线面及其相平行的各纵向垂直平面的交线在侧视方向的投影图为纵剖线图;以船体型表面与对称于中线面…舷平行于基面的各水线面的交线及甲板边线舷墙顶线在俯视方向的投彰图为半宽水线图。
02.138,箱垂线,forward perpendicular,的柱前缘与设计水线交点处的垂线。
02.139,艉垂线,after perpendicular,舵柱后缘与设计水线交点的垂线。对无舵柱船舶为舵杆中心线。
02.140,格子线,grid,"在型线图中,由基线.水线,站线、纵剖线、中心线,半宽边框线等水平线和垂直线组成的矩形格子。"
02.141,站,ordinate station,"在型线图中,沿基线将垂线间长或设计水线长分成若干闭距的各点,及其在半宽水线图上沿中线面的相应投影点。"
02.142,中站,rnidstation,位于垂线闼长或设计水线长中点处的站。
02.143,站线,station ordinates,在型线图中通过各站点并垂直于基线和中心线的直线。
02.144,型线,molded lines,"船体型表面及有关附体型表面的外廓线,投影线及与剖切平面的交线。"
02.145,数学型线,mathematical 1ines,采用数学公式表示的船体型线。
02.146,型值,offsets,决定型线空间位置的各点坐标值。
02.147,型值表,table of offsets,用以表达型值的表或表册。
02.148,横剖面,transverse sections,以平行于中站面的平面剖切裸船体或船体所形成的韵面。
02.149,中横剖面,midship section,位于中站处的横剖面。
02.150,最大横剖面,maximuni section,横剂面中型值最大的剖面。
02.151,水线面,water plane,由水线所围封的平面。
02.152,中纵剖面,longitudinal section in center plane,以中线面剖切裸船体或船体所形成的剖面。
02.153,纵剖线,buitocks,平行于中线面的平面与船体型表面的交线。
02.154,横剖线,body lines,平行于中站面的平面与船体型表面的交线。
02.155,斜剖线,diagonal,"斜交于基面和中线面,但垂直于中站面的斜平面与船体型表面的交线。"
02.156,外廓线,profile,中线面与船体型表面的交线。
02.157,水线,waterline,在任何吃水及倾斜情况下、水面与船体型表面的交线。
02.158,设计水线,designed waterline,船舶在预期设计状态自由正浮于静水上时，船体型表面与水面的交线。也即对应于设计排水量的水线。
02.159,满载水线,loaded waterline,"船舶在满载状态自由正浮于静水中时,船体型表面与水面的交线。也即对应于满载排水量的水线。"
02.160,甲板线,deck line,甲板边线和甲板中线的统称。
02.161,甲板边线,deck side line,"甲板型表面的边缘线,对于甲板舷边圆弧形的金属船体,则指横梁上缘延伸线与肋骨外缘延伸线之交点的连接线。"
02.162,甲板中线,deck center line,甲板型表面与中线面的交线。
02.163,舷弧,sheer,甲板边线在中纵剖面上投影的纵向曲度。其值以各站处甲板边线与型深的高度差表示。
02.164,梁拱,camber,"在船的中横剖面处甲板的横向拱度,其值以甲板中线与甲板边线的高度差表示。"
02.165,梁拱线,camber curve,"具有梁拱的甲板,横向垂直平面与甲板型表面的交线。"
02.166,批,bilge,"指船底和船舷之间的连接部分。呈圆弧的纰称“圆杂"";呈尖角的纰称“尖批”。"
02.167,批部升高,deadrise,"在最大横剖面上,自船底斜升线与舷侧切线的交点至基面的垂直距离。"
02.168,批部半径,bilge radius,"纰部呈圆弧形时,最大横剖面上纰部的圆弧半径。"
02.169,龙骨线,keel line,"船体型表面的底部与中线面的交线。对于木质船舶,为龙骨槽口下缘线在中线面上的投影线。"
02.170,龙骨设计斜度,rake of keel,龙骨线呈直线时与设计水线的纵向斜度。其值以龙骨线的延伸线与赠艉垂线的两交点距设计水线的高度差表示。
02.171,龙骨折角线,"knuckle line of keel,chine line of keel","船底具有纰部升高时,各横向垂直平面上平板龙骨板的折角点在船体型表面上形成的纵向连线。"
02.172,龙骨水平半宽,half-siding,中线面与龙骨折角线之间水平距离。对具有方龙骨的船为方龙骨半宽。
02.173,折角线,knuckle line,船体表面或船体结构曲度突变呈折角而形成的今角交线。
02.174,隧道顶线,tunnel top line,隧道型舰的船舶通过轴中心线并垂直于基面的平面与船体型表面底部的交线。
02.175,内倾,tumble home,设计水线以上船长中部舷侧表面向内的倾斜距离。其值以最大横剖面上自横梁上缘线与肋骨外缘线之交点距中线面的水平距离与设计水线半宽值之差表示。
02.176,外倾,flare,设计水线以上斛部舷侧表面向外的倾斜距离。其值以最大横剖面上自横梁上缘线与肋骨外缘线之交点距中线面的水平距离与设计水线半宽值之差表示。
02.177,外飘,flare,指设计水线以上道部舷侧表面向外的倾斜。
02.178,方艉浸宽,immersed transom beam,方舰端面在设计水线处的宽度。
02.179,方艉浸深,irnmersed transom draft,方昵端面最低点至设计水线之间的垂直距离。
02.180,船型系数,coefficients of form,用以表示船体线型肥瘦特征的各种无量纲系数的统称。
02.181,方形系数,block coefficient,"与基面相平行的任一水线面下,型排水体积与其相对应的水线长、水线宽、平均型吃水的乘积之比。其中长和宽常用垂线间长和满载水线宽。"
02.182,棱形系数,prismatic coefficient,"与基面相平行的任一水线面下,型排水体积与其相对应的水线长﹑最大横剖面面积的乘积之比。其中长常用垂线间长。"
02.183,垂向棱形系数,vertical prisnatic co-efficient,"与基面相平行的任一水线面下,型排水体积与其相对应的水线面面积、平均型吃水的乘积之比。"
02.184,水线面系数,waterline coefficient,"与基面相平行的任一水线面的型面积与相对应的水线长,水线宽的乘积之比,其中长和宽常用垂线间长和满载水线宽。"
02.185,中横剖面系数,midship section co-efficient,"与基面相平行的任一水线面下,中横剖面面积与相对应的水线宽和吃水的乘积之比。其中宽常用满载水线宽。"
02.186,最大横剖面系数,maximun trans-verse section coefficient,"与基面相平行的任一水线面下,最大横剖面面积与其相对应的水线宽和吃水的乘积之比。其中宽常用满载水线宽。"
02.187,主尺度比,dimension ratio,船体主尺度比值的统称。
02.188,长宽比,length breadth ratio,垂线间长与设计水线宽之比值。
02.189,长深比,length depth ratio,垂线间长与型深之比值。
02.190,宽深比,breadth depth ratio,型宽与型深之比值。
02.191,宽度吃水比,breadth draft ratio,设计水线宽与设计吃水之比值。
02.192,长度吃水比,length draft ratio,垂线间长与设计吃水之比值。
02.193,吃水型深比,draft depth ratio,设计吃水与型深之比值。
02.194,前体,fore body,中横剖面前的船体部分。
02.195,后体,after body,中横剖面后的船体部分。
02.196,水线平行段,parallel waterline,平行于中线面的设计水线中部线段。
02.197,水线前段,waterline beginning,水线平行段以前的设计水线前部线段。
02.198,水线后段,waterline ending,水线平行段以后的设计水线后部线段。
02.199,平行中体,parallel middle body,设计水线面下具有同样横剖面的船体部分。
02.200,进流段,entrance,"设计水线面下,最大横剖面或平行中体前端到船体最前端的部分。"
02.201,去流段,run,设计水线面下，最大横剖面或平行中体后端到船体最后端的部分。
02.202,肩,shoulder,"指进流段或去流段紧邻平行中体的部分,与进流段紧邻部分称“前肩”、与去流段紧邻部分称“后肩”。"
02.203,半进流角,half angle of entrance,设计水线前端处的切线与中线面的夹角
02.204,方航端面,transom,方睨船体的艇端型表面。
02.205,艏踵,forefoot,脑柱与龙骨连接的部分。
02.206,艉踵,aftfoot,舰柱与龙骨连接的部分。
02.207,轴包套,( longbossing,)”。
02.208,轴架,"propeller shaft bracket,propeller struts，A-bracket","又称""人字架”。装在船体外面的舰轴支架。"
02.209,艉鳍,deadwood skeg,"俗称“呆木”。位于船尾底部中线面上或在其两侧,供坐坞和提高直线航行稳定性的船体鳍状部分。"
02.210,双舰鳍,twin-skeg,"双桨船为提高伴流及降低黏压阻力,从船体后半体沿推进器轴方向做成的两个单体;或沿推进器轴方向,顺流线做成的联接在船体上的鳍状凸体,推进器轴从中穿出。"
02.211,前倾型箱,raked bow,柱侧形呈直线前倾或接近直线前倾型式的眉部。
02.212,直立型箱,vertical bow,"道柱侧形与道垂线重台或接近重合,呈直线型式的的部。"
02.213,破冰型风,icebreaker bow,设计水线以下航柱侧形与基面成夹角型式的腈部。
02.214,球鼻船,bulbous bow,设计水线平面以下呈球鼻形的航部。
02.215,椭圆解,elliptical stern,"具有较短的能伸部,折角线以上呈椭圆体向上扩大,折角线以下与船体底部线形相连续的能部。"
02.216,方锅,transom stern,"设计水线面以上艇端面为平面或微凸的曲面且与中线面垂直相交,并与外板成折角相交的服部。"
02.217,巡洋舰解,cruiser stern,解部侧形显凸形，满载水线具有较长的延伸部的昵部。
02.218,隧道程,tunnel stern,"为提高推进效率,增大螺旋桨直径,将螺旋桨所在处船体底部线型局部设计成⒆道状拱形曲面,并向前延伸与相邻的船体型表面平顺连接的民部。"
02.219,球形程,bulbous stern,"为增大伴流提高船身效率及改善伴流分布的不均匀性,在推进器轴出口处剖面接近圆形或卵圆形并向前延伸与相邻的船体表面平顺连接的昵部。"
02.220,球漩型剖面,bulb section,航或艉在设计水线以下局部呈球形薇出的横剖面。
02.221,型剖面,U-section,"底部近似弧形而舷侧明显趋于垂直,如同U字形的横剖面。"
02.222,型剖面,V-section,"底部相对尖瘦而舷侧明显呈直线外倾,如同V字形的横剖面。"
02.223,气垫面积,cushion area,气垫船的气垫部分在基面上的投影面积。
02.224,排水量,displacement,船舶或物体自由浮于水中且保持静态平衡时所排开水的重量。
02.225,型排水量,molded displacement,任一水线下，船舶型排水体积的排水址。
02.226,总排水量,total displacement,"任一水线下,型排水量与附体的排水量的总和。对于金属船体尚应包括外板的排水量在内。"
02.227,空船重量,light weight,船舶裴备齐全但无装载时的重量。
02.228,满载排水量,full load displacement,船舶最大装载时的排水量。
02.229,设计排水量,designed displacernent,设计吃水时船舶的总排水量。
02.230,储备排水量,displacement margin,船舶设计时预先计入设计排水量中的一项备用量。
02.231,载重量,deadweight,船舶允许装载的可变载荷的最大值。此值为满载排水量与空船重量的差值。
02.232,载货量,cargo dead weight,载重址中允许装载货物的最大值。
02.233,有酬载荷,payload,"商用船舶装载客、货,可以计费的载重量。"
02.234,载重量系数,deadweight displace-ment ratio,载重量与满载排水址的比值。
02.235,压载,ballast,专门用来改变船舶的浮态和重心位置的固体物和液体物的总称。
02.236,干舷,freeboard,按载重线规范定义的船长中点处，自该规范的甲板线上边缘重至相关载重水线之间的垂直距离。
02.237,千舷甲板,freeboard deck,用以计算干舷的基准甲板。
02.238,载重线,loadine,"按载重线规范,根据船舶航行的区带、区域和季节期而定的载重水线。"
02.239,载重线标志,loadline mark,"按载重线规范计算和规定的式样,勘绘于船体两舷中部的载重水线的标志。"
02.240,载重量标尺,t,"至满载排水量之间,标有平均吃水及与其对应的总排水量﹑载重量,每厘米吃水吨数以及载重线标志的图表。"
02.241,液舱容积,tank capacity,液舱中扣除骨架后的容积。
02.242,货舱容积,cargo capacity,货舱散装舱容和包装舱容的统称。
02.243,散装舱容,grain cargo capacity,货舱中扣除骨架后的容积。
02.244,包装舱容,bale cargo capacity,装载包装货物时货舱所能提供的最大容积。
02.245,膨胀容积,allowance for expansion,考虑液体因温升发生体积膨胀等情况而在液体舱柜里留出的相应空间容积。
02.246,容积曲线,capacity curve,液舱、货舱等舱框的容积及几何形心位置随其不同装载高度而变化的曲线。
02.247,舱容图,capacity plan,绘有全船各货舱、液舱等舱柜的布置位置，并标明各舱柜的容积及其几何形心位置的图。
02.248,积载,stowage,对货物在船上所作的王确合理的配置与堆装。
02.249,积载因数,stowage factor,积载每吨货物所占据的立方米容积。
02.250,全船积载因数,ship's stowage factor,全船的货舱容积与载货量之比。
02.251,吨位,tonnage,按吨位规范丈量核定的船舶容积。
02.252,总吨位,gross tonnage,按吨位规范丈量核定的船舶总容积。
02.253,净吨位,net tonnage,按吨位规范丈量核定的有效容积。
02.254,苏伊士运河吨位,Suez canal ton-nage,按苏伊士运河当局规定的规范丈量核定的吨位。
02.255,巴拿马运河吨位,Panama canal ton-nage,按巴拿马运河当局规定的规范丈址核定的吨位。
02.256,吨位丈量,tonnage measurement,为核定船舶的吨位所进行的丈文和计算。
02.257,围蔽处所,enclosed spaces,"吨位丈量中,除永久的或可移动的天棚外，由船壳固定的或可移动的隔壁、甲板或盖板所围成的所有处所。"
02.258,免除处所,excluded spaces,"按吨位规范,吨位丈量中不列入围蔽处所内的处所。"
03.001,浮性,buoyancy,船舶在各种载重状态下保持一定浮态的性能。
03.002,浮态,floating condition,船舶在静水中的平衡状态。
03.003,正浮,floating on even keel，zero trim,船舶无横倾和纵倾时的浮态。
03.004,横倾,list，heel,船舶左右舷具有吃水差的浮态。
03.005,横倾角,angle of list，angle of heel,船舶在有横倾时的水线面与正浮时水线面之间的夹角。
03.006,纵倾,trim,船舶实际水线纵向不平行于基线时的浮态。
03.007,纵倾角,angle of trim,船舶在有纵倾时的水线面与正浮时水线面之间的夹角。
03.008,关倾,trim by bow,以基线为基准的羞吃水大于舰吃水的纵倾状态。
03.009,娓倾,trim by stern,以基线为基准的舰吃水大于航吃水的纵倾状态。
03.010,纵倾调整,trim adjustment,调整船舶在各种装载状态下具有合适的航、航吃水。
03.011,浮力,buoyancy force,作用于船舶浸水外表面上的静水压力之垂向分力的合力。
03.012,损失浮力,lost buoyancy,船舶破损进水后对应丁于破损前所失去的浮力。
03.013,储备浮力,reserve buoyancy,船舶设计水线面以上船体水密部分的体积所能提供的浮力。
03.014,浮心,center of buoyancy,船舶排水体积的形心。
03.015,漂心,center of floatation,船舶水线面的形心。
03.016,重心,center of gravity,船舶各部分重力的合力的作用点。
03.017,静水力曲线,hydrostatic curve,表示船舶正浮状态时的浮性要素.韧稳性要素和船型系数等与吃水间关系的各曲线的总称。
03.018,邦戎曲线,Bonjean's curves,"在型线图各站线上,以吃水为纵坐标,相应的横剖面面积及其对基平面的力矩为横坐标绘制的两组曲线。"
03.019,横剖面面积曲线,curve of sectional areas,表示设计水线面以下各横剖面面积沿船长分布的曲线。
03.020,费尔索夫图谱,Firsov's diagram,"以腊吃水为横坐标,鲲吃水为纵坐标,绘有等排水体积和等浮心纵向坐标两组曲线的图谱。"
03.021,水线面面积曲线,curve of areas of waterplanes,船舶水线面面积和吃水的关系曲线。
03.022,每厘米吃水吨数曲线,1cm,引起排水量的变化吨数与吃水的关系曲线。
03.023,每厘米纵倾力矩曲线,1cm,所需的力矩与吃水的关系曲线。
03.024,型排水体积曲线,curve of molded displaced volumes versus draft,船舶型排水体积与吃水的关系曲线。
03.025,总排水量曲线,total displacement curve,船舶总排水量与吃水的关系曲线。
03.026,稳性,stability,又称“复原性”。船知在外力作用消除后恢复其原平衡位置的性能。
03.027,横稳性,transverse stability,船舶横倾时的稳性。
03.028,纵稳性,longitudinal stability,船舶纵倾时的稳性。
03.029,初稳性,initial stability,船舶作小角度倾斜时的稳性。
03.030,静稳性,statical stability,"在静态外力作用下,不计及倾斜角速度的稳性。"
03.031,动稳性,dynamical stability,在动态外力作用下，计及倾斜角速度的稳性。
03.032,破舱稳性,damaged stability,船舶破损进水后的剩余稳性。
03.033,大倾角稳性,stability at large angle,船舶作大角度横向倾斜时的稳性。
03.034,复原力矩,"righting moment,restoring moment","船舶在外力作用倾斜时,重力和浮力使船恢复正态所形成的力矩。"
03.035,复原力臂,rigbting lever，restoring lever,重心至船舶倾斜后浮力作用线的距离。
03.036,稳性衡准数,stability criterion numeral,船舶倾覆力矩与规定的倾斜力矩的比值。
03.037,横倾力矩,heeling rmorment,使船舶产生横倾的外力矩。
03.038,纵倾力矩,trimming moment,使船舶产生纵倾的外力矩。
03.039,最小倾覆力矩,capsizing moment,使船舶倾覆的最小外力矩。
03.040,风压倾斜力矩,wind heeling moment,由风力作用使船舶倾斜的外力矩。
03.041,计算风力作用力臂,rated wind pressure lever,船舶正浮时受风面积中心到假定水动力中心的垂向距离。
03.042,稳心,metacenter,船舶浮心曲线的曲率中心。
03.043,横稳心,transverse metacenter,船舶横倾时的稳心。
03.044,纵稳心,longitudinal metacenter,船舶纵倾时的稳心。
03.045,稳心半径,rmetacentric radius,船舶浮心曲线的曲率半径。船舶横向倾斜时的稳心半径称横稳心半径;船舶纵向倾斜时的稳心半径称纵稳心半径。
03.046,稳心曲线,locus of metacenters,稳心的轨迹曲线。
03.047,重稳距,metacentric height,"又称“稳心高”,“稳性高”。船舶稳心与重心之间的垂向距离。"
03.048,初重稳距,initial metacentric height,船舶正浮或小角度倾斜时横稳心与重心之间的垂向距离。
03.049,修正后初重稳距,virtual initial rmetacentric height,经过自由液面修正和其他修正后的重稳距。
03.050,静稳性曲线,statical stability curve,"船舶于某装载情况下,复原力臂(矩)与横倾角的关系曲线。"
03.051,稳性消失角,angle of vanishing stability,静稳性曲线图上复原力臂超过最大值后降低为零时所对应的横倾角。
03.052,最大复原力臂角,angle of maximum righting lever,静稳性曲线图上复原力臂最大值所对应的横倾角。
03.053,动稳性曲线,curve of dynarnical stability,"复原力矩所做的功与横倾角的关系曲线,即静稳性曲线的积分曲线。"
03.054,动横倾角,dynamical heeling angle,"船舶在动态外力作用下,外力矩所做的功等于复原力矩所消耗的功时产生的横倾角。"
03.055,动倾覆角,dynarnical upsetting angle,最小倾覆力矩所对应的动横倾角。
