id,question,answer
1021,简述民船的几种典型排水量。,"①空船排水量：船舶建成后交船时的排水量，此时的排水量就是空船重量。
 ②空载排水量：船上不载运货物、旅客及其行李的载况。其相应的载况有空载到港（油水等载重为设计储备量的10%）、空载出港（油水等载重为设计储备量的100%）。
 ③满载排水量：船上装载了预定的设计载重量的载况称为满载，相应的排水量即为满载排水量（或设计排水量）。其相应的载况有：满载到港（油水等载重为设计储备量的10%）、满载出港（油水等载重为设计储备量的100%）。
 ④最大排水量：有些载运轻泡货物的货船，为加大载运重货时的载重量以提高其经济性，把吃水设计成可变的，在设计水线之上还加一个设计重载吃水线，结构设计时要满足这种吃水状态对结构强度等的要求，此时的吃水叫做结构吃水。这种典型载况叫做重载，对应的排水量叫做最大排水量，也称重载排水量"
1022,船舶的固定压载是指什么？, 固定压载是固定加在船上的载荷，通常采用生铁块、水泥块和矿渣块，一般在船下水前后放在船底部1固定压载的目的是降低船舶的重心以提高稳性；增加船舶重量以加大吃水；必要时用来调整船舶的浮态。
1023,何为排水量裕度，为什么？一般如何选取排水量裕度？其重心高度如何考虑？,"船舶设计时，在估算的重量中，通常要加一定的排水量储备，也称排水量裕度
原因大致有：①估算误差；②设备增加；③采用代用设备和材料"
1024,设计初始阶段，进行船舶航速估算（或功率估算）的目的是什么？如何估算船舶的速度？,①初步估算设计船在给定主机情况下的航速 ；②初步确定在所要求航速下需要的主机功率 ； ③检查在给定主机情况下所要求的航速是否合理 ；④在方案比较时，通过对各方案的航速估算，为选择最佳方案提供航速方面的依据。
1025,为何低速船舶一般比较短粗，而高速船舶均瘦长？,对低速船（通常Fn＜0.18的船）来说，摩擦阻力占总阻力比例很大，所以总阻力随船长的增加而增大，较短的船长可以获得较低的摩擦阻力，其最低阻力船长较短。高速船（Fn＞0.3的船）因剩余阻力占总阻力的比例很大，所以总阻力随船长的增加而减小，较长的船长获得较低的剩余阻力，其最低阻力船长较长。基于上述原因，通常低速船都设计的短而肥，而高速船设计得较为瘦长。
1026,大的吃水对增加螺旋桨的性能有何好处？,增加设计吃水，可加大螺旋桨直径，提高其效率；可加大螺旋桨的埋水深度、降低空泡，有利于螺旋桨工作，还能在纵摇时减少螺旋桨出水的可能性，对耐波性好。Δ一定时，保持L，B不变，增加吃水d以减小Cb及B/d，会使剩余阻力降低，因此吃水不受限制的船舶，选用大一些的吃水对提高螺旋桨工作性能和降低阻力有利。
1027,将船舶横剖面面积曲线无因次化后其曲线下的面积相当于船舶的什么系数？为什么？,棱形系数，Cp决定了横剖面面积曲线的丰满程度，对曲线形状影响极大。
1028,什么是盲区？客船、货船和油船的盲区一般多大？,"驾驶室里驾驶员眼睛到首端舷墙顶点引一直线，通常把这一直线与水面的交点和首柱间的一段区域称为盲区。
客船的盲区长度为0.60Lpp～0.70Lpp，货船及油船满载时平均为1.25Lpp,压载航行时约为2.0Lpp."
1029,船上通道、出入口与扶梯布置应遵循哪些原则？, ①各舱室的船员、乘客易于从其居住舱室进出；②各舱室的船员、乘客易于到达露天甲板；③遇有紧急情况，各舱室的船员、乘客易于到达救生艇登乘甲板
1030,表征船舶外形的特征参数主要有哪些？,①主要尺度与船型系数，包括L，B，D，d，Cb，Cm，Xb等；②横剖面面积曲线形状；③设计水线形状；④首、尾轮廓及甲板线（甲板中心线、舷弧线）；⑤典型剖面横剖线形状；⑥平边线和平底线
1031,船舶在压载航行时，为什么要保证一定的首吃水、尾吃水和平均吃水？,船舶的装载情况变化，船舶的浮态也随之发生变化。当尾吃水不足时，将使桨叶出水，使推进效率降低，引起空泡和振动；当首吃水不足时，首拍击现象严重，将引起首底破坏；而平均吃水过小，则船舶的受风面积增大，对稳性及航向稳定性都不利
1032,船舶纵倾调整有哪些措施？,①改变双层底以上舱室的相互位置；②改变双层底以上舱室的相互位置；③适当移动机舱位置；④设置首部平衡空舱或深压载水舱；⑤改变浮心位置
1033,什么叫船舶的续航力和自持力？与航速有何关系？,续航力：一般是指在规定航速或主机功率下，船上一次装足的燃料可供船连续航行的距离。自持力：有时也叫自给力，指船上所带淡水、食品等能在海上维持的天数。自持力=续航力/航速
1034,船舶的横摇角主要与哪些因素有关？,船宽、吃水、初稳性高度、船舶类型和舭龙骨尺寸  
1035,试航速度Vt与服务航速Vs有什么不同？,试航速度一般指满载试航速度，即主机在最大持续功率情况下，静止深水中的新船满载试航所测得的航速。而服务航速是指船平时营运所使用的速度，一般是一个平均值。通常Vs较Vt慢0.5—1.0kn。
1036,船舶平浮在预定吃水的条件是什么？,根据浮性原理，船舶平衡于静水中的条件是：浮力等于重力，重力与浮力的作用线在同一铅垂线上
1037,诺曼系数N的物理意义是什么？它有什么特点？,诺曼系数N的物理意义是增加1tDW时船舶要增加的浮力。诺曼系数N的特点：（1）、必有N>1 。（2）N的大小取决于LW/△的大小。（3）N的数值还随Wh、Wf和Wm估算公式中△的指数不同而变化。(4)对设计船来说，为达到平衡所改变的主尺度不同，N也是不同的。
1038,横剖面面积曲线有哪些特征？,曲线面积等于船体水下排水体积；（2）曲线的形状表示排水体积沿船长的分布情况；（3）曲线面积的丰满度系数也就是船的菱形系数Cp；（4）面积型心的纵向位置等于船浮心的纵向位置Xb。（5）曲线的形状对摩擦阻力的影响不大，但对剩余阻力的影响相当大。
1039,"总吨位计算中,要计算所有围蔽处所的容积,但有些处所可以免除,免除处所是指哪些处所?","1)上甲板以上且与之分开的不能进入的处所,如桅杆、起重柱、起重机及座、集装箱支撑结构物以及截面积不超过一m2的通风筒等。2)锚链筒、海底阀凹穴、侧推器孔道以及建筑物内直接位于其顶甲板上无遮盖的开口下的那部分体积。3)仅由固定或可移动的天棚遮盖的处所。4)部分免除处所。例如围蔽处所一端敞开、舷侧有大开口等情况。"
1040,为什么说空船重量的准确估算十分重要？如果空船重量估算结果偏轻或者偏重分别会产生什么样的后果？,（1）空船重量LW占设计排水量相当大一部分，且影响因素很多，不容易估算准确，特别是在设计初期阶段。如果船舶建成以后，空船重量与原先估计的相差较大，则对船舶的技术和经济指标都会产生很大的影响。尤其是超重较多时，引起的后果更为严重。因此，空船重量估算的准确与否是新船设计能否获得成功的关键之一。
1041,什么情况下船舶需要设置固定压载？一般运输货船设计中是否应该考虑设固定压载？为什么？,"（1）船舶加固定压载的主要原因如下： 
1）某些船舶稳性不足，加固定压载以降低重心高度； 
2）某些特殊船舶的满载吃水太浅或排水量太小，用固定压载以加大吃水和排水量； 3）有的船因布置的特殊要求导致浮态不理想，用加固定压载来调整纵倾或横倾。 
（2）不应该。一般运输货船设计时若加固定压载则损失了船的装载能力，从而降低了船舶的经济性指标。有一种特殊情况是新船设计建造完工后，发现重心过高或浮态很不好，用加固定压载来作为一种补救措施，以便在新船牺牲了部分装载能力后还能继续使用。"
1042,民船的空船重量和载重量分别由哪几部分组成？,1）LW——空船重量（t），民船设计中通常将其分为船体钢料重量WH、舾装重量WO和机电设备重量WM三大部分，即LW=WH+WO+WM；   2）DW——载重量（t），包括货物、旅客、船员、行李、油水（燃油、滑油、淡水等）、食品、备品、供应品以及压载水等的重量。
1043,船舶总吨位和净吨位的作用主要有哪些？,"1）作为税收和各类收费的标准。例如关税、保险费、港务费等。 
2）作为船舶统计的量度标准。例如统计一个国家、船级社、运输公司的船舶拥有量时都以登记吨位作为量度标准。
3）在国际公约、法规和规范中，有些是以总吨位来划分船舶大小等级的，以此来规定设备配备的标准。 
4）作为船舶营运管理的一个标准，例如航运管理部门以总吨位来划分船舶等级，规定船员的资格等级。"
1044,总吨位和净吨位的计算结果用什么单位表示？数值表达上有何规定？,"1）吨位数后面没有单位，过去一登记吨位为100立方英尺（2.832m3），现在总吨位和净吨位只是体现船舶容积大小的概念，不再具备容积的单位。 
（2）  量计时，总吨位和净吨位的数值只取整数部分，小数点后面的数值略去不要。"
1045,货船通常有哪几种基本载况？它们的重量分别包括哪几部分？,"1）满载出港——设计排水量状态； 
2）满载到港——这时船上的油水等消耗品重量规定为设计状态储备量的10%； 
3）压载出港——船上不装载货物，但有所需的压载水，油水储备量为设计状态之值； 
4） 压载到港——船上不装载货物，但有所需的压载水，油水储备量为设计储备量的10%。"
1046,规定船舶最小干舷的目的是什么？,船舶的使用实践表明，装载过重，干舷不足，常常是海损事故的一个重要原因。因此，为了保证船舶的安全，就要限制船舶营运过程中的最大吃水，从而提出了最小干舷的要求。
1047,船舶主要要素一般是指哪些？各涉及到哪些基本问题？,"船舶主要要素一般指排水量△、载重量DW、船长L、型宽B、吃水T、型深D、方形系数Cb，航速V及主机功率P。选择与确定船舶主要要素所涉及的基本问题，可归纳为以下四个方面：     
重量与浮力的平衡；满足船对容量与甲板面积的需要；保证船的各种技术及经济性能考虑使用、工艺等条件。"
1048,船体钢料Wh与哪些因素有关？同样排水量△的甲乙两艘船，B、T基本相同，甲船的L大Cb小，乙船L小Cb大，问哪艘船的Wh大，为什么？,船体钢料Wh与以下因素有关：主尺度系数，包括L、B、D、T、Cb等，布置特征，包括甲板数、舱壁数、上层建筑大小，船级、规范、航区，结构材料等。甲船的Wh大，因为船长L比Cb对Wh影响大。
1049,估算Wh选取型船时应注意哪些问题？设计某海船时，找到一艘各方面都相近的内河船，能不能直接用作型船估算Wh值，为什么？,布置特点；船的结构。 不能，因为海船和内河船规范中所要求的船的结构强度不一样。
1050,为什么舱容不足时一般是采取增大型深D的办法？,因为增大型深是最有效而对其他方面影响最小的办法。对大船来说，因加大D对强度有利，从而对船体钢料重量影响很小。
1051,为什么说船体型线设计关系全局的项目之一？,"（1）船舶设计的许多工作在型线图确定以后，才能正式进行下去，如总布置设计，结构设计，舱容及性能计算等。
（2）船体型线设计成功与否，直接影响到船技术经济性能。如性能，包括浮态，快速性，耐波性，稳性，操纵性等；总布置，包括船主体内舱室的布置，特别对尾机型的机舱，甲板面积及甲板上的设备，舱室的布置；结构与工艺，包括结构上强度，振动等是否合理，施工建造是否方便"
1052,船主体内舱室划分要考虑哪些因素？,"（1） 满足有关规范的要求。 
（2） 船舱大小符合使用要求。 
（3） 各种装载情况下有适宜的浮态和稳性。 
（4） 考虑总纵强度，局部强度，振动，结构的合理性及建造的工艺性。"
1053,什么叫上层建筑？通常上层建筑有哪几种形式？各有什么优缺点？,上层建筑是对上甲板以上各种围蔽建筑物的统称，分为船楼和甲板室两种形式。船楼的优点有增加了内部面积和有利于舱室布置（尤其是中部），且有助于提高穿的安全性，缺点是由于甲板上没有外走道，人员不能在上加板上自首至尾通行，必须经过船楼内部或从上一层甲板通过，不方便。甲板室的优点是人员可以在上甲板上自首至尾通行，且人员上下船方便，还有利于旅客在外走道散步观赏。缺点和船楼优点对应。
1054,为了保证船舶在各种装载情况下有适宜的浮态，总布置设计的一项工作时浮态调整。请问浮态调整的方法主要有哪些？,"[1] 改变燃油舱、淡水舱的布局；
[2] 调整机舱位置；
[3] 改变浮心纵向位置；
[4] 压载状态的浮态调整（主要依靠改变压载水舱的数量和位置"
1055,为什么运输货船通常都需要设置压载水舱？它的主要作用是什么？所需的压载水重量怎样确定？需要考虑哪些因素？,"1 船舶在营运过程中，有不少情况是无货航行，例如运输大宗散货（煤炭、矿砂等）、原油的船舶，由于货物的单向性，每次航行往返中有一次是空放。为了保证船舶空放航行时的适航性能，船舶必须具有一定的吃水，所以空放航行时通常需要压载。
2 有些船舶由于稳性的要求，即使满载出港时，压载水也可能是必不可少的，例如集装箱船。压载水量是根据空放航行时所需的首尾吃水来确定的。其中尾吃水一般达到0.04L~0.045L，并保证螺旋桨全部浸没水中；首吃水要求尽可能达到0.025L~0.03L，太小的首吃水在风浪航行时容易引起严重的船首拍击。尾倾不宜过大，否则驾驶室在船尾的船舶会影响驾驶视线。"
1056,船舶设计中，为什么对初稳性高（GM）的控制要以上、下限两方面来考虑？,初稳性高的下限是从保证安全和使用要求来考虑的。初稳性过低的船舶在不大的横倾力矩作用下就会发生较大的横倾而且回复缓慢使人产生不安全感。在随浪中航行时，稳性有所下降，因此要求一定的初稳性高；初稳性高的上限是从横摇缓和性方面考虑的。初稳性高越大，船的横摇周期就越短，横摇加速度也越大，这对船舶的安全性也不利，并使船上作业困难，设备易产生故障，货物受损，更使人员易晕船或感到不舒服。
1058,船体重量包括哪些内容。钢料重量的计算方法有哪些？论证主尺度对钢料重量的敏感性,船体重量包括钢料重量、木作舾装重量及机电设备重量。计算方法有百分数法，立方模数法，平方模数法，平方-立方模数法，分项细目换算法，修差法，每米船长重量法。船长对钢料重量影响最大，其次是型深、吃水，方形系数对钢料重量的影响逐渐减小。
1059,设计船舶主体内各舱所需的总型容积包含哪些项目？,货舱所需容积Vc，油水舱所需形容积Vow，专用压载水舱所需容积Vb，机舱所需容积Vm和其他舱所需的型容积Va.Vh=Vc+Vow+Vb+Vm+Va-Vn(Vn—上甲板以上装货的容积) 
1060,何谓船舶的舱容要素曲线？有何用途？,舱容要素曲线是指各液体舱的容积和容积形心随液面高度变化的曲线。舱容要素曲线可用来计算各种载况时液舱装载量和重心位置，是计算浮态与稳性（包括破舱稳性）的基础资料；并可用来制定油水舱“液位容积表”供船员使用。
1061,旁内龙骨在横舱壁处间断后，与横舱壁之间有哪几种连接方式？各有何优缺点,旁内龙骨在横舱壁处间断后，与横舱壁之间有三种连接方式：（1）单独加肘板；（2）纵桁腹板升高；（3）腹板不升高而面板加宽。各自的优缺点分别是：第一种工艺性好，影响舱容；第二种强度较好，也影响舱容；第三种不影响舱容，但工艺性较差。
1062,尾尖舱内的结构采用哪些加强措施？,尾尖舱内的加强措施有：（1）肋骨间距≤600mm，且板厚增加；（2）底部设升高肋板；（3）设强胸横梁和舷侧纵桁；（4）中线面处设制荡舱壁。
1063,中型货船货舱区的结构一般采用混合骨架式，请问哪些部位采用纵骨架式，哪些部位采用横骨架式？,中型货船货舱区一般采用混合骨架式结构。船底和上甲板采用纵骨架式结构，舷侧和下甲板采用横骨架式结构
1064,油船油舱区为什么设高腹板的纵向桁材？,油船油舱内都设高腹板的纵向桁材（底纵桁，甲板纵桁），这是因为：①加强纵向强度；②当船舶横摇时，高复板对舱内液体起制荡作用，减少液体摇荡，从而减少船舶横摇；③对于液舱而言，高腹板不影响舱容。
1065,舷墙的作用有哪些？海船的舷墙高度不小于多少？,舷墙的作用是：保障人员安全，减少甲板上浪，防止甲板上的物品滚落海中。海船的舷墙高度不小于1.0m。
1066,试述船体静水总纵弯曲的产生。,船舶在静水中受到的外力有船舶及其装载的重力和水的浮力。重力包括船体本身结构的重量和机器、装备、燃料、水、供应品、船上人员及行李和载货的重量等。重力的方向向下，浮力的方向向上。当重力和浮力的大小相等、重心和浮心作用在同一条铅垂线上时，船舶处于平衡状态。但由于船体的各段重力和浮力的大小并不相等。船舶装载情况及船体浸水部分形状总是变化，因而船体各段重力和浮力的不平衡总是存在。重力大的一段有下移的趋势，浮力大的一段有上移的趋势。然而，船体是一整体结构，各段不可能让它们自由上下移动，在船体结构内部必然有内力产生，这就使船体发生弯曲变形，即总纵弯曲。
1067,集装箱船在结构上常采取哪些加强措施，为什么？,集装箱船的货舱口宽度几乎与货舱宽度一样大，对船体的抗弯、抗扭和横向强度很不利，在结构上应采取补偿措施。
1068,大型集装箱船的货舱区的舷侧采用什么结构形式？为什么？,大型集装箱船的货舱区的舷侧采用双壳结构。采用双壳结构的目的是由于大型集装箱船甲板开口很大，占舱室的80%左右，甲板面积损失太大，用双壳结构一是可以增加总纵强度；二是补偿甲板强度；三是增加甲板部位的抗扭强度；同时采用双壳结构增加了船舶航行安全性。
1069,双层底内底边板的形状有哪几种？各有何优缺点？,双层底内底边板的形状有三种：水平形、下倾形、上斜形。水平形制造工艺简单，不影响舱容；下倾形便于排水，但航行安全性较差，工艺复杂；上斜形航行安全性较好，但工艺性较差，占舱容较多。
1070,双层底向单底过渡采用什么方式？为什么？,双层底向单底过渡采用舌形面板，将双层底逐渐过渡到单底结构。这样过渡的目的是减少应力集中的影响。
1071,船体底部结构中参与总纵弯曲的构件有哪些？,船体底部结构中参与总纵弯曲的构件主要有：单底船主要有外底板，底纵桁(中内龙骨、旁内龙骨)，纵舱壁以及底纵骨（纵骨架式结构）。双层底船主要有：内外底板，底纵桁，纵舱壁以及内外底纵骨（纵骨架式船舶）。
1072,简述船体外板厚度沿船长方向的变化情况，为什么这样变化？,船体外板沿船长方向的变化，一般说来，在船中0.4L区域内的外板厚度较大，离首尾端0.075L区域内的外板较薄，在两者之间的过渡区域，其板厚可由中部逐渐向两端过渡。这是因为当船舶总纵弯曲时，弯曲力矩的最大值通常在船中0.4L的区域内，向首、尾两端的弯矩逐渐减小而趋于零。为了保证船舶进坞或搁浅时的局部强度，以及考虑锈蚀、磨损等因素，平板龙骨的宽度和厚度从首至尾应保持不变。
1073,中小型油船的油舱区一般采用混合骨架式，请问什么部位用纵骨架式？什么部位用横骨架式？,中小型油船油舱区域一般采用混合骨架式结构，采用纵骨架式结构的部位主要有船底部和上甲板及纵舱壁。舷侧采用横骨架式结构。
1074,首尖舱内的结构采用哪些加强措施？,首尖舱内的结构采用下列加强措施：（1）肋骨间距≤600mm，且钢板加厚2-4mm；（2）底部设升高肋板与肋骨连接；（3）设强胸横梁和舷侧纵桁；（4）中线面处设制荡舱壁。
1075,简述外板厚度沿肋骨围长的变化是什么？,船体外板厚度沿肋骨围长分布规律是：平板龙骨最厚，依次是舷顶列板，船底板，舭列板及舷侧外板（从下向上）。
1076,船体甲板结构中参与总纵弯曲的有哪些构件？,船体甲板结构中参与总纵弯曲的构件主要有：甲板边板、甲板纵桁（含舱口纵桁），甲板纵骨以及较长的舱口围板等构件。
1077,散货船设有顶边舱和底边舱，为什么？,散货船的甲板下面的两舷设有顶边舱和底边舱，其作用是：a、防止散货向一侧移动使船倾斜，影响船的稳性；b、使散货堆放于货舱中央，便于用抓斗卸货；c、顶边舱和底边舱可作为压载水舱以改善船的适航性；d、上倾的底边舱对船舶的安全比其它的双层底更可靠。
1078,舷边的舷顶列板与甲板边板的连接形式一般有三类，请说说其各自的优缺点。,"舷边的舷顶列板与甲板边板的连接形式一般有：舷边角钢铆接、圆弧舷板连接和舷边直接焊接三类。
舷边角钢铆接的优点：a、舷边位于高应力区域，用铆钉连接具有重新分布高应力，减少产生结构损坏的危险。b、铆接有止裂作用，一旦甲板板发生裂缝时，可防止裂缝向舷侧板继续扩展。缺点：铆接的工作量大，劳动强度大，形式陈旧，不适于现代化工艺要求，现已逐渐淘汰。
圆弧舷板连接：优点：a、舷侧顶列板与甲板边板构成一个整体，能使甲板和舷侧的应力顺序过渡； b、弯曲的圆弧板比平板的刚性大，舷边不易变形。
缺点：a、减少了甲板面积；b、甲板上流下来的水会弄脏舷侧外板；c、施工较麻烦。舷边直接焊接：施工简便，但舷边应力大。"
1079,如何理解船舶动力装置的含义？它有哪些部分组成？,"船舶动力装置的含义：保证船舶正常航行、作业、停泊以及船员、旅客正常工作和生活所必需的机械设备的综合体。
组成部分：推进装置：包括主机、推进器、传动设备。辅助装置：发电机组、辅助锅炉、压缩空气系统。机舱自动化设备。全船系统。"
1080,船舶动力装置的技术特征包括哪些技术指标？,a)技术指标  标志动力装置的技术性能和结构特征的参数。包括功率指标﹑质量指标和尺寸指标。b)经济指标 代表燃料在该动力装置中的热能转换率。有燃料消耗率﹑装置总效率﹑推进装置热效率﹑每海里航程燃料耗量及动力装置的运转-维修经济性。c)性能指标  代表动力装置在接受命令，执行任务中的服从性﹑坚固性和对外界条件、工作人员的依赖性。因此它包括机动性﹑可靠性﹑自动远操作性能﹑牵曳性能以及噪声振动的控制等指标
1081,作用在船体与海洋平台上的外力有哪些？,"①船体的总纵弯曲：作用在船体上的重力、浮力、波浪水动力和惯性力等引起的船体绕水平横轴的弯曲，它是由静水总纵弯曲和波浪总纵弯曲两部分叠加而成；
②横向的局部载荷：局部的水压力和货物的横向载荷等；
③局部载荷：机器和螺旋桨运转时的振动力、船首端的波浪砰击和水面漂浮物的撞击等局部外力、油船的油货舱内液体的晃动载荷等局部外力；
④波浪惯性力：船舶横摇时引起肋骨的歪斜和船体的扭转。（发生扭转的原因：①船舶在斜浪中穿行；②首尾载荷分布不均。）"
1082,船体骨架布置的形式有几种？各有何优缺点?分别运用于哪些船舶或部位？,"①纵骨架式：板格的长边沿船长方向，短边沿船宽方向，纵向骨材的间距小而密横向桁材的间距大而疏。
优点：提高了船梁的纵向抗弯能力，增加了船体的总纵强度，提高板材的稳定性，减轻了船舶的重量。缺点:施工比较麻烦，船舱利用率低；
适用船舶与部位：军舰、大型船舶远洋货船和油船等。舷侧、上甲板、船底部位。
②横骨架式：板格的长边沿船宽方向，短边沿船长方向，横向骨材的间距小而密纵向桁材的间距大而疏。
优点：横向强度好，施工比较方便，建造成本低，舱容利用率高；缺点：结构重量较大，纵向强度差；
适用船舶与部位：小型船舶、内河船。上甲板、船底、舷侧。
③混合骨架式：纵横方向的骨材间距相差不多，板格的形状接近正方形。优点：纵横强度都好，船体重量适中；缺点：施工麻烦，舱容利用率不高；
适用船舶与部位：集装箱船、散货船等大中型船舶。首尾尖舱，机舱区域"
1084,集装箱船加强的原因及其加强措施。,加强原因：集装箱船的结构与一般的货船不同，它的货舱口宽度几乎与货舱宽度一样大，舷边只留下一条宽度不大的甲板边板。这样大的开口对船体的抗弯抗扭和横向强度都很不利，为了补偿强度的不足，故而在结构上常采用以上加强措施。加强措施：①采用双层底和双层舷侧，且在双层舷侧和顶部设置有效的抗扭箱结构；②增加甲板边板和舷顶板的厚度，在船的顶部和底部的强力部分均采用纵骨架式；③加强两个货舱口之间的舱口端横梁和甲板横梁等。
